fluoxetine,xanax,dyspepsia,salmonella,C0036117
fluoxetine,vicodin,amnesia,sinusitis,C0037199
fluoxetine,morphine,rash,delayed_ejaculation,C0234047
fluoxetine,xanax,flatulence,salmonella,C0036117
fluoxetine,vicodin,anaemia,diabetic_retinopathy,C0011884
fluoxetine,xanax,arrhythmia,salmonella,C0036117
fluoxetine,ambien,arrhythmia,illusion,C0030976
fluoxetine,morphine,conjunctivitis,delayed_ejaculation,C0234047
fluoxetine,ambien,conjunctivitis,compulsive_behaviors,C0600104
fluoxetine,percocet,conjunctivitis,dazed,C0009676
fluoxetine,morphine,hallucination,polydipsia,C0085602
fluoxetine,morphine,menopause,acute_pulmonary_edema,C0155919
fluoxetine,vicodin,convulsion,cysts,C0010709
fluoxetine,morphine,thirst,delayed_ejaculation,C0234047
fluoxetine,morphine,apathy,delayed_ejaculation,C0234047
fluoxetine,morphine,malaise,delayed_ejaculation,C0234047
fluoxetine,xanax,neuropathy,salmonella,C0036117
fluoxetine,tramadol,sexual_dysfunction,agitate,C0085631
fluoxetine,xanax,acne,salmonella,C0036117
fluoxetine,prozac,rheumatoid_arthritis,myelosuppression,C0854467
fluoxetine,xanax,hyperkalaemia,salmonella,C0036117
fluoxetine,vicodin,hyperkalaemia,diabetic_retinopathy,C0011884
fluoxetine,morphine,pancreatitis,delayed_ejaculation,C0234047
fluoxetine,morphine,peptic_ulcer,delayed_ejaculation,C0234047
fluoxetine,xanax,pulmonary_embolism,salmonella,C0036117
fluoxetine,morphine,pulmonary_embolism,autistics,C0004352
fluoxetine,xanax,vasculitis,muscle_weakness,C0151786
fluoxetine,xanax,cataract,emotional_instability,C0085633
fluoxetine,vicodin,angioedema,cysts,C0010709
fluoxetine,xanax,mental_disorder,salmonella,C0036117
fluoxetine,xanax,hyperplasia,salmonella,C0036117
fluoxetine,morphine,hypoglycaemia,delayed_ejaculation,C0234047
fluoxetine,morphine,optic_neuritis,autistics,C0004352
fluoxetine,prozac,attention_deficit_disorder,pancreatic_cancer,C0346647
fluoxetine,tramadol,attention_deficit_disorder,pancreatic_cancer,C0346647
fluoxetine,morphine,decreased_appetite,delayed_ejaculation,C0234047
fluoxetine,morphine,tardive_dyskinesia,delayed_ejaculation,C0234047
